,resid,formula,Distance to Hull (eV),decomp,Distance to known hull (eV),decomp_known,structure_uuid,functional,Energy Per Atom (eV)
85,00fda5,Li2Fe2SO2,0.08206146773809397,Li2FeSO+FeO,0.0629729930952374,FeO+Li2S,5bb520c6-99b7-4712-b685-df54f8a74c99,pbe,-5.522160037619048
86,5dec5c,Li2Fe2SO2,0.08757476392857022,Li2FeSO+FeO,0.06848628928571365,FeO+Li2S,d35e6a86-7cdd-45a0-97d5-5841ad715ea4,pbe,-5.516646741428572
87,b03cb4,Li2Fe2SO2,0.08757777678571266,Li2FeSO+FeO,0.06848930214285609,FeO+Li2S,017f864c-9b90-4756-940a-727907575a7c,pbe,-5.516643728571429
88,cd27d2,Li4FeS2O,0.06175769187499647,Li2FeSO+Li2S,0.04505527656249875,FeO+Li2S,19d73593-3e06-4b8c-bf5e-322c28194145,pbe,-4.6476921625
89,e85d01,Li4FeS2O,0.09587750562499675,Li2FeSO+Li2S,0.07917509031249903,FeO+Li2S,8b49986c-91c3-46e8-9f42-c0241e0a8f6d,pbe,-4.61357234875
90,c22f6e,Li4FeS2O,0.10213054187499715,Li2FeSO+Li2S,0.08542812656249943,FeO+Li2S,05b661ca-deba-4010-91cd-45d0e01fbbf9,pbe,-4.6073193125
91,bec3e8,Li3FeS2O,0.06281190660714486,Li2SO4+Li2Fe4S3O2+Li2S,0.05607679388888798,Li2SO4+LiFeO2+FeS+Li2S,4003b18c-eb0f-475c-823a-125e7574d305,pbe,-4.7852484564285716
92,85645e,Li3FeS2O,0.06668303660714514,Li2SO4+Li2Fe4S3O2+Li2S,0.059947923888888255,Li2SO4+LiFeO2+FeS+Li2S,01c22f7c-ff12-461d-bb3c-ee66c29d0955,pbe,-4.781377326428571
93,78bedd,Li3FeS2O,0.06670067732143092,Li2SO4+Li2Fe4S3O2+Li2S,0.05996556460317404,Li2SO4+LiFeO2+FeS+Li2S,c763cc93-72f5-4a40-a96a-1c5ee22ca52c,pbe,-4.7813596857142855
94,16ce6b,Li3FeS2O,0.06675407303571568,Li2SO4+Li2Fe4S3O2+Li2S,0.06001896031745879,Li2SO4+LiFeO2+FeS+Li2S,cfaedada-d37d-40f8-90c2-f212b9e247ec,pbe,-4.781306290000001
95,48a963,Li3FeS2O,0.0667959887500027,Li2SO4+Li2Fe4S3O2+Li2S,0.06006087603174581,Li2SO4+LiFeO2+FeS+Li2S,52f0292f-a193-40a8-b9b2-6e5798b1ad81,pbe,-4.781264374285714
96,623e53,Li2Fe3SO3,0.07142721777777528,Li2FeSO+FeO,0.05658062638888772,FeO+Li2S,4083f625-498c-4be0-8365-22bfaa5f2875,pbe,-5.79296295
97,da21b4,Li2Fe3SO3,0.08247246833333044,Li2FeSO+FeO,0.06762587694444289,FeO+Li2S,f47b9ea9-5479-40e8-aa26-8d6045e66329,pbe,-5.781917699444445
98,d46560,Li2Fe3SO3,0.08910968777777484,Li2FeSO+FeO,0.07426309638888728,FeO+Li2S,26e70459-b789-47e9-afa9-927cea7f0aed,pbe,-5.77528048
99,41b3aa,Li2Fe3SO3,0.08977019888888638,Li2FeSO+FeO,0.07492360749999882,FeO+Li2S,079e60b9-e4bc-4fdf-a7c7-fa6e20cb40a8,pbe,-5.774619968888889
100,1b8d1f,Li2Fe3SO3,0.10247280166666428,Li2FeSO+FeO,0.08762621027777673,FeO+Li2S,26c09890-d903-4beb-8793-85c9cfb7d326,pbe,-5.761917366111111
101,8c2594,Li4Fe2SO4,0.07585409590909098,LiFeO2+Li2S,0.07585409590909276,LiFeO2+Li2S,f1eab860-f951-43a9-8975-e9105d88b58e,pbe,-5.508247905454545
102,d499cb,Li4Fe2SO4,0.10170364045454505,LiFeO2+Li2S,0.10170364045454683,LiFeO2+Li2S,5124541f-8985-46ea-b7fe-2c24f87e9ca0,pbe,-5.482398360909091
103,181344,Li4Fe2SO4,0.11618517681818119,LiFeO2+Li2S,0.11618517681818297,LiFeO2+Li2S,98c6a33b-7273-41f2-bbfb-83c8b968e7e6,pbe,-5.467916824545455
104,b7ee0a,Li4Fe2SO4,0.13544584409090898,LiFeO2+Li2S,0.13544584409091076,LiFeO2+Li2S,1edd7e62-5f9e-4858-924d-cfc8366c9070,pbe,-5.448656157272727
105,1e2bbc,Li4Fe2SO4,0.1619202459090907,LiFeO2+Li2S,0.1619202459090925,LiFeO2+Li2S,7dd9a121-ab07-4d9e-9e1a-8b379f3765b5,pbe,-5.422181755454545
106,3cfac9,Li4Fe2SO3,0.0825439897499951,Li2FeSO+Li2FeO2,0.06918205749999995,FeO+Li2FeO2+Li2S,3ced7f75-67eb-4845-a0e6-41e823d1c4bf,pbe,-5.3087526405
107,e5630e,Li4Fe2SO3,0.1031906567499945,Li2FeSO+Li2FeO2,0.08982872449999935,FeO+Li2FeO2+Li2S,f63f9d58-6433-4ccd-9fbb-4dd5ee210d1c,pbe,-5.2881059735000004
108,fe31b0,Li4Fe2SO3,0.10491918024999514,Li2FeSO+Li2FeO2,0.09155724799999998,FeO+Li2FeO2+Li2S,876a0b52-8d7b-48d6-8c7f-fc5a5e687bef,pbe,-5.28637745
